['COUNTER', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'GYROX', 'GYROY', 'TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
45.0 , 3345.12820513 , 3908.71794872 , 4139.48717949 , 3805.64102564 , 4618.46153846 , 4087.69230769 , 4472.82051282 , 4341.53846154 , 4305.64102564 , 4384.1025641 , 4241.53846154 , 4101.02564103 , 3522.56410256 , 3767.17948718 , 1687.0 , 1670.0 , 2.763 , 0.0 , 0.0 , 0.0 , 0.0 , 

46.0 , 3348.20512821 , 3913.33333333 , 4143.58974359 , 3804.61538462 , 4611.79487179 , 4082.56410256 , 4472.82051282 , 4342.05128205 , 4305.12820513 , 4373.33333333 , 4241.02564103 , 4104.1025641 , 3527.17948718 , 3777.94871795 , 1686.0 , 1672.0 , 2.763 , 0.0 , 0.0 , 0.0 , 0.0 , 

47.0 , 3348.20512821 , 3912.30769231 , 4147.69230769 , 3806.66666667 , 4598.46153846 , 4076.92307692 , 4472.82051282 , 4338.97435897 , 4298.97435897 , 4382.56410256 , 4244.61538462 , 4105.12820513 , 3532.30769231 , 3782.56410256 , 1686.0 , 1672.0 , 2.763 , 0.0 , 0.0 , 0.0 , 0.0 , 

48.0 , 3338.97435897 , 3898.46153846 , 4140.51282051 , 3798.46153846 , 4597.43589744 , 4074.87179487 , 4472.82051282 , 4333.33333333 , 4295.38461538 , 4370.76923077 , 4236.41025641 , 4099.48717949 , 3521.53846154 , 3766.66666667 , 1685.0 , 1675.0 , 2.766 , 0.0 , 0.0 , 0.0 , 0.0 , 

49.0 , 3328.71794872 , 3889.74358974 , 4132.30769231 , 3786.15384615 , 4600.51282051 , 4075.38461538 , 4472.82051282 , 4330.76923077 , 4296.92307692 , 4351.28205128 , 4229.23076923 , 4097.43589744 , 3504.1025641 , 3751.79487179 , 1687.0 , 1673.0 , 2.79 , 0.0 , 0.0 , 0.0 , 0.0 , 

50.0 , 3329.23076923 , 3896.92307692 , 4136.41025641 , 3785.12820513 , 4598.46153846 , 4077.43589744 , 4472.82051282 , 4332.82051282 , 4296.41025641 , 4366.66666667 , 4235.38461538 , 4102.56410256 , 3508.71794872 , 3752.82051282 , 1686.0 , 1672.0 , 2.79 , 0.0 , 0.0 , 0.0 , 0.0 , 

51.0 , 3330.25641026 , 3894.35897436 , 4137.94871795 , 3787.17948718 , 4602.05128205 , 4076.92307692 , 4472.82051282 , 4335.38461538 , 4296.41025641 , 4377.94871795 , 4236.41025641 , 4103.58974359 , 3521.53846154 , 3752.82051282 , 1688.0 , 1672.0 , 2.79 , 0.0 , 0.0 , 0.0 , 0.0 , 

52.0 , 3323.58974359 , 3880.0 , 4134.35897436 , 3782.05128205 , 4612.82051282 , 4077.94871795 , 4472.82051282 , 4332.82051282 , 4296.41025641 , 4361.02564103 , 4225.64102564 , 4095.38461538 , 3516.41025641 , 3750.25641026 , 1688.0 , 1672.0 , 2.797 , 0.0 , 0.0 , 0.0 , 0.0 , 

53.0 , 3327.17948718 , 3883.58974359 , 4138.46153846 , 3786.66666667 , 4606.15384615 , 4076.92307692 , 4472.82051282 , 4327.69230769 , 4297.43589744 , 4361.02564103 , 4237.43589744 , 4094.35897436 , 3520.51282051 , 3763.07692308 , 1687.0 , 1672.0 , 2.823 , 0.0 , 0.0 , 0.0 , 0.0 , 

54.0 , 3334.87179487 , 3888.20512821 , 4141.02564103 , 3797.43589744 , 4585.12820513 , 4075.38461538 , 4472.82051282 , 4327.17948718 , 4301.53846154 , 4378.46153846 , 4253.33333333 , 4104.61538462 , 3535.8974359 , 3773.33333333 , 1688.0 , 1671.0 , 2.823 , 0.0 , 0.0 , 0.0 , 0.0 , 

55.0 , 3329.23076923 , 3882.05128205 , 4138.46153846 , 3790.76923077 , 4589.23076923 , 4080.51282051 , 4472.82051282 , 4332.30769231 , 4305.12820513 , 4378.46153846 , 4238.97435897 , 4106.15384615 , 3529.23076923 , 3765.64102564 , 1687.0 , 1672.0 , 2.823 , 0.0 , 0.0 , 0.0 , 0.0 , 

56.0 , 3324.61538462 , 3884.61538462 , 4139.48717949 , 3782.56410256 , 4600.0 , 4082.56410256 , 4473.33333333 , 4338.46153846 , 4312.30769231 , 4378.46153846 , 4229.23076923 , 4100.0 , 3521.02564103 , 3760.51282051 , 1687.0 , 1671.0 , 2.828 , 0.0 , 0.0 , 0.0 , 0.0 , 

57.0 , 3329.23076923 , 3886.15384615 , 4140.0 , 3787.69230769 , 4589.23076923 , 4076.41025641 , 4473.84615385 , 4336.41025641 , 4312.30769231 , 4386.15384615 , 4238.97435897 , 4100.51282051 , 3525.12820513 , 3761.53846154 , 1686.0 , 1672.0 , 2.853 , 0.0 , 0.0 , 0.0 , 0.0 , 

58.0 , 3329.74358974 , 3884.1025641 , 4137.43589744 , 3788.20512821 , 4588.71794872 , 4072.82051282 , 4473.84615385 , 4331.28205128 , 4301.02564103 , 4382.56410256 , 4239.48717949 , 4097.94871795 , 3520.51282051 , 3760.51282051 , 1687.0 , 1672.0 , 2.853 , 0.0 , 0.0 , 0.0 , 0.0 , 

59.0 , 3328.71794872 , 3890.76923077 , 4136.41025641 , 3783.58974359 , 4598.46153846 , 4073.84615385 , 4474.35897436 , 4333.33333333 , 4298.46153846 , 4378.46153846 , 4232.30769231 , 4089.74358974 , 3519.48717949 , 3765.12820513 , 1686.0 , 1672.0 , 2.853 , 0.0 , 0.0 , 0.0 , 0.0 , 

60.0 , 3325.64102564 , 3889.74358974 , 4135.38461538 , 3786.15384615 , 4604.1025641 , 4072.82051282 , 4473.33333333 , 4336.92307692 , 4303.07692308 , 4380.0 , 4232.82051282 , 4090.76923077 , 3529.23076923 , 3768.20512821 , 1687.0 , 1672.0 , 2.859 , 0.0 , 0.0 , 0.0 , 0.0 , 

61.0 , 3318.46153846 , 3876.41025641 , 4134.87179487 , 3782.56410256 , 4613.33333333 , 4074.35897436 , 4472.82051282 , 4331.79487179 , 4297.43589744 , 4370.25641026 , 4222.56410256 , 4091.28205128 , 3528.71794872 , 3754.35897436 , 1687.0 , 1672.0 , 2.884 , 0.0 , 0.0 , 0.0 , 0.0 , 

62.0 , 3312.82051282 , 3875.38461538 , 4133.84615385 , 3775.38461538 , 4611.28205128 , 4077.43589744 , 4473.84615385 , 4330.25641026 , 4293.84615385 , 4361.02564103 , 4212.30769231 , 4086.15384615 , 3519.48717949 , 3745.12820513 , 1689.0 , 1671.0 , 2.884 , 0.0 , 0.0 , 0.0 , 0.0 , 

63.0 , 3311.79487179 , 3885.12820513 , 4131.79487179 , 3779.48717949 , 4598.46153846 , 4075.8974359 , 4473.84615385 , 4334.87179487 , 4297.43589744 , 4370.25641026 , 4222.56410256 , 4084.61538462 , 3520.51282051 , 3747.69230769 , 1689.0 , 1669.0 , 2.884 , 0.0 , 0.0 , 0.0 , 0.0 , 

64.0 , 3320.0 , 3892.30769231 , 4132.30769231 , 3787.69230769 , 4603.07692308 , 4074.35897436 , 4472.82051282 , 4335.8974359 , 4297.94871795 , 4382.56410256 , 4232.82051282 , 4093.33333333 , 3534.87179487 , 3753.33333333 , 1689.0 , 1671.0 , 2.892 , 0.0 , 0.0 , 0.0 , 0.0 , 

65.0 , 3331.28205128 , 3896.92307692 , 4135.38461538 , 3788.20512821 , 4607.69230769 , 4074.87179487 , 4473.33333333 , 4336.92307692 , 4301.53846154 , 4388.71794872 , 4235.38461538 , 4100.0 , 3546.66666667 , 3765.64102564 , 1691.0 , 1669.0 , 2.916 , 0.0 , 0.0 , 0.0 , 0.0 , 

66.0 , 3327.17948718 , 3892.30769231 , 4136.41025641 , 3786.15384615 , 4603.07692308 , 4074.87179487 , 4473.33333333 , 4336.41025641 , 4302.56410256 , 4390.25641026 , 4234.87179487 , 4094.35897436 , 3540.51282051 , 3768.71794872 , 1689.0 , 1669.0 , 2.916 , 0.0 , 0.0 , 0.0 , 0.0 , 

67.0 , 3315.38461538 , 3885.64102564 , 4134.87179487 , 3784.61538462 , 4609.74358974 , 4074.35897436 , 4471.79487179 , 4328.20512821 , 4294.35897436 , 4383.07692308 , 4226.15384615 , 4084.1025641 , 3526.66666667 , 3755.38461538 , 1689.0 , 1669.0 , 2.916 , 0.0 , 0.0 , 0.0 , 0.0 , 

68.0 , 3315.8974359 , 3887.69230769 , 4132.82051282 , 3782.56410256 , 4612.30769231 , 4074.87179487 , 4471.79487179 , 4324.1025641 , 4293.33333333 , 4371.79487179 , 4217.43589744 , 4083.07692308 , 3532.82051282 , 3750.76923077 , 1687.0 , 1669.0 , 2.922 , 0.0 , 0.0 , 0.0 , 0.0 , 

69.0 , 3317.94871795 , 3893.33333333 , 4134.35897436 , 3784.61538462 , 4601.02564103 , 4074.35897436 , 4472.30769231 , 4331.79487179 , 4296.92307692 , 4373.33333333 , 4220.0 , 4087.69230769 , 3542.05128205 , 3756.41025641 , 1686.0 , 1669.0 , 2.943 , 0.0 , 0.0 , 0.0 , 0.0 , 

70.0 , 3313.33333333 , 3893.84615385 , 4132.82051282 , 3783.58974359 , 4597.94871795 , 4074.87179487 , 4472.30769231 , 4334.87179487 , 4296.41025641 , 4378.46153846 , 4219.48717949 , 4084.1025641 , 3530.76923077 , 3743.58974359 , 1685.0 , 1669.0 , 2.943 , 0.0 , 0.0 , 0.0 , 0.0 , 

71.0 , 3311.79487179 , 3892.82051282 , 4126.66666667 , 3776.92307692 , 4601.53846154 , 4075.8974359 , 4472.30769231 , 4330.76923077 , 4297.43589744 , 4373.84615385 , 4215.38461538 , 4080.0 , 3522.56410256 , 3731.79487179 , 1685.0 , 1669.0 , 2.945 , 0.0 , 0.0 , 0.0 , 0.0 , 

72.0 , 3307.17948718 , 3898.97435897 , 4124.1025641 , 3775.8974359 , 4605.64102564 , 4075.38461538 , 4472.30769231 , 4322.56410256 , 4289.74358974 , 4365.12820513 , 4217.43589744 , 4078.46153846 , 3523.07692308 , 3738.46153846 , 1685.0 , 1670.0 , 2.953 , 0.0 , 0.0 , 0.0 , 0.0 , 

73.0 , 3297.43589744 , 3898.97435897 , 4123.07692308 , 3780.51282051 , 4618.97435897 , 4074.35897436 , 4472.30769231 , 4312.82051282 , 4277.94871795 , 4343.07692308 , 4208.71794872 , 4071.79487179 , 3510.25641026 , 3729.23076923 , 1686.0 , 1671.0 , 2.974 , 0.0 , 0.0 , 0.0 , 0.0 , 

74.0 , 3299.48717949 , 3892.30769231 , 4125.12820513 , 3783.07692308 , 4620.0 , 4073.84615385 , 4472.30769231 , 4312.82051282 , 4281.02564103 , 4328.71794872 , 4195.8974359 , 4068.20512821 , 3505.12820513 , 3716.41025641 , 1686.0 , 1671.0 , 2.974 , 0.0 , 0.0 , 0.0 , 0.0 , 

75.0 , 3311.79487179 , 3892.82051282 , 4129.23076923 , 3782.56410256 , 4610.25641026 , 4073.84615385 , 4472.30769231 , 4320.0 , 4288.71794872 , 4343.07692308 , 4202.05128205 , 4069.74358974 , 3522.05128205 , 3729.74358974 , 1686.0 , 1671.0 , 2.977 , 0.0 , 0.0 , 0.0 , 0.0 , 

